"Meter","Serial Number","Status","Address","City","Cycle","Collector","Service Latitude","Service Longitude","Module FW","Meter FW","Layer","LAst Billable","Hardware Model ID","DCW","Last Path"
"168063112","4029533497","Normal","171 CLIFTON RD","LENA","06","HINESTON",31.25503,-92.82813,"251284-09.18","05.37",6,07-APR-19,65563,"2001.09.15","2155078051,2155073957,4029712216,2155074157,2155073866,4029583486,4029533497"
"168012204","4029715695","Lost","LF 1MI B4 PHIL L","PINEVILLE","15","RAW LAND 69 GAP",31.400028,-92.006365,"251284-09.18","05.37",1,01-MAR-19,65563,"2001.09.15","2155070491,4029715695"
"168012553","4029723723","Normal","125 ST JANE TRLR","FLORIEN","13","ZWOLLE GAP",31.27469,-93.57011,"251284-09.18","05.37",2,08-APR-19,65563,"2001.09.15","2155227859,4029723723"
"168012207","4029723864","Lost","1ST RD B/4 PHILS","PINEVILLE","15","RAW LAND 69 GAP",31.400547,-92.007103,"251284-09.18","05.37",1,01-MAR-19,65563,"2001.09.15","2155070491,4029723864"
"168012206","4029715612","Lost","PHILS LDG X TO T","PINEVILLE","14","RAW LAND 69 GAP",31.402275,-92.005892,"251284-09.18","05.37",1,01-MAR-19,65563,"2001.09.15","2155070491,4029715612"
"168008378","4029510882","Normal","21 DOT LN","ZWOLLE","07","ZWOLLE GAP",31.56331,-93.70433,"251284-09.18","05.37",11,26-MAR-19,65563,"2001.09.15","2155074534,1343084382,2155077589,2155077722,2155077269,4029906981,4029945223,4036654698,4029510882"
"168060669","4029582337","Normal","2710 DONALD AVE","PINEVILLE","2","PGOMW",31.31838,-92.392102,"251284-09.18","05.37",12,10-MAR-19,65563,"2001.09.15","2155038302,2155073764,2155073687,4029524897,4029582596,4029582337"
"168062912","4029533434","Lost","305 CAMPS RD","PINEVILLE","14","RAW LAND 69 GAP",31.400607,-92.006722,"251284-09.18","05.37",1,01-MAR-19,65563,"2001.09.15","2155070491,4029533434"
"168065645","4029589864","Normal","3288 DONAHUE FRY RD","PINEVILLE","02","PGOMW",31.358123,-92.38479,"251284-09.18","05.37",4,11-MAR-19,65563,"2001.09.15","2155070646,2155059228,2155074009,4029582749,4029579913,4029589864"
"168063820","4029583900","Normal","2114 SHREVEPORT HWY APT 140","PINEVILLE","08","PGOMW",31.34988,-92.43176,"251284-09.18","05.37",3,08-APR-19,65563,"2001.09.15","2155038302,4046679282,4029580950,4029583900"
"168061378","4029589337","Normal","790 ROCK HILL","BENTLEY","12","SHERWOOD",31.502235,-92.518023,"251284-09.18","05.37",9,09-APR-19,65563,"2001.09.15","2155058763,2155073841,2155073595,2155073729,2155073622,2155073783,4029509232,4029589872,4029581174,4029589337"
"168062846","4029532926","Normal","1888 HIGHWAY 1241 1","DRY PRONG","11","SHERWOOD",31.4503,-92.4931,"251284-09.18","05.37",3,09-JAN-19,65563,"2001.09.15","2155058769,2155073703,2155075274,4029532926"
"168052801","1343883005","Normal","HWY 107","EFFIE","12","EFFIE",31.22529,-92.16528,"251581-09.18","05.36",1,06-APR-19,65562,"1F0D.09.15","2155038756,1343883005"
"168083527","4029529569","Normal","3429 RIGOLETTE RD 2","PINEVILLE","07","SHERWOOD",31.379448,-92.460168,"251284-09.18","05.37",5,31-MAR-19,65563,"2001.09.15","2155058764,2155073710,2155073828,2155074010,4029529569"
"168081718","4029713454","Normal","1503 PROVIDENCE ST","NEW IBERIA","11","HWY 675 _JEFF ISLAND",29.992597,-91.837267,"251284-09.18","05.37",3,31-MAR-19,65563,"2001.09.15","2155073533,4029507918,4029713454"
"168081220","4029713738","Normal","3929 STAPLES RD","PINEVILLE","14","RUBY GAP",31.28869,-92.338855,"251284-09.18","05.37",8,01-APR-19,65563,"2001.09.15","2155070535,2155073668,2155073555,2155073941,4042841007,4029893957,4029586782,4029713732,4029713738"
"168082873","4029716862","Normal","5302 BENJAMIN ST","ALEXANDRIA","7","ENGLAND AIRPARK",31.298955,-92.503005,"251284-09.18","05.37",4,17-MAR-19,65563,"2001.09.15","2155078105,2155073673,4029526085,4029716862"
"168082705","4029716844","Lost","225 ANNA RD CAMP","DEVILLE","15","RAW LAND 69 GAP",31.370388,-92.053328,"251284-09.18","05.37",7,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,2155073660,4029716844"
"168086540","4029719392","Normal","1590 WATSON RD","PINEVILLE","09","SHERWOOD",31.431343,-92.446483,"251284-09.18","05.37",4,30-MAR-19,65563,"2001.09.15","2155058771,2155059218,2155059257,4043009798,4029719392"
"168083215","4029718410","Normal","2655 JOSEPH AVE # B","PINEVILLE","01","PGOMW",31.31961,-92.394078,"251284-09.18","05.37",9,02-APR-19,65563,"2001.09.15","2155038302,2155073764,2155073687,4029586121,4029718410"
"168089672","4029731091","Normal","1093 YOUNGBLOOD RD","COLFAX","05","Colfax MW Gap",31.534243,-92.719662,"251284-09.18","05.37",1,08-MAR-19,65563,"2001.09.15","2155078213,4029731091"
"168063200","4029583479","Lost","5 MUDDYBAYOU LOT","PINEVILLE","15","RAW LAND 69 GAP",31.371175,-92.052692,"251284-09.18","05.37",6,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,2155073660,4036645510,4029583479"
"168010120","4029587880","Normal","3331 N BAYOU DES GLAISE RD","MOREAUVILLE","01","BO04 -- BORDELONVILLE GAP",31.104977,-91.910333,"251284-09.18","05.37",2,28-MAR-19,65563,"2001.09.15","2155238665,4029718552,4029587880"
"168009415","4029585707","Normal","1426 HIGHWAY 361","EVERGREEN","04","BU06 -- BUSC MW",30.925943,-92.08548,"251284-09.18","05.37",2,26-MAR-19,65563,"2001.09.15","2155073531,2155074623,4029585707"
"168089504","4029730834","Normal","290 TORO BAY DR","FLORIEN","13","ELIZABETH GAP",31.28368,-93.57395,"251284-09.18","05.37",17,08-APR-19,65563,"2001.09.15","2155070492,2155077833,4032158183,4029955879,4029948030,2155077257,4036646777,4036646824,4036643756,4036639842,4036639853,4029955798,4036649256,4029888895,4029730834"
"168091341","4029725764","Normal","552 HIGHWAY 1191 2","MARKSVILLE","09","MANSURA INDUSTRIAL",31.151055,-92.094012,"251284-09.18","05.37",3,21-FEB-19,65563,"2001.09.15","2155038722,2155074673,2155075172,4029725764"
"168104673","4029805880","Normal","615 YVONNE ST APT C","NEW IBERIA","05","HWY 675 _JEFF ISLAND",30.004285,-91.83959,"251284-09.18","05.37",2,06-APR-19,65563,"2001.09.15","2155073539,4046788255,4030144648,4029508752,4029805880"
"168089128","4029726075","Normal","2375 SHREVEPORT HWY","PINEVILLE","09","PGOMW",31.343057,-92.439135,"251284-09.18","05.37",3,15-MAR-19,65563,"2001.09.15","2155038302,2155073811,2155073910,4029726075"
"168091143","4029734446","Normal","440 CHICKAMAW","LECOMPTE","6","FOREST HILL MW GAP",31.122655,-92.437973,"251284-09.18","05.37",3,30-MAR-19,65563,"2001.09.15","2155070487,2155074298,2155074116,4029734446"
"168101279","4029797676","Normal","232 FILISITY","DEVILLE","14","RAW LAND 69 GAP",31.37087,-92.05185,"251284-09.18","05.37",6,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,2155073660,4042976574,4029797676"
"168107092","4029884148","Normal","5925 CROOKED CREEK RD","VILLE PLATTE","15","PINE PRAIRIE GAP",30.847907,-92.424618,"251284-09.18","05.37",3,06-APR-19,65563,"2001.09.15","2155070461,2155075496,2155077691,4029884148"
"168036079","1343892195","Normal","625 S MAIN ST","BREAUX BRIDGE","13","BREAUX BRIDGE GAP",30.269502,-91.894208,"251581-09.18","05.34",3,24-FEB-19,65562,"1F0D.09.15","2155074536,4029957376,4029579485,1343892195"
